node_id,road,house_number,neighborhood,suburb
10289600885,Vico Primo di Viale La Plaia,4,,Stampaxi/Stampace
10290012444,Sentiero nel parco di Tuvixeddu,,,Tuvixeddu-Tuvumannu
10290012493,Sentiero nel parco di Tuvixeddu,,,Tuvixeddu-Tuvumannu
10290049030,Sentiero nel parco di Tuvixeddu,,,Tuvixeddu-Tuvumannu
10290049045,Sentiero nel parco di Tuvixeddu,,,Tuvixeddu-Tuvumannu
10300204680,Via Sassari,2,,Stampaxi/Stampace
10300204688,Via Molo Sant'Agostino,25,,Stampaxi/Stampace
10300204692,Via Sassari,,,Stampaxi/Stampace
10300204694,Via Roma,,,Stampaxi/Stampace
10300204697,Via Roma,,,Stampaxi/Stampace
10300286335,Ruga-Via Giovanni Fabrizio Bignami,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10300286336,Via Heinrich Rudolph Hertz,2,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10300286337,Via Giuseppe Mercalli,,,Genneruxi
10300286339,Via Guglielmo Marconi,163,Terram?ini - Is Bingias,Genneruxi
10300286342,Via Guglielmo Marconi,161a,Terram?ini - Is Bingias,Genneruxi
10300286343,Via Guglielmo Marconi,159,Terram?ini - Is Bingias,Genneruxi
10300286347,Via Guglielmo Marconi,135,,Genneruxi
10300286352,Via Guglielmo Marconi,234,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10310697830,Via Arrigo Boito,27,,Sant'Alenixedda
10310697831,Via Arrigo Boito,,,Sant'Alenixedda
10310697834,Via Pierluigi da Palestrina,15,,Genneruxi
10537173527,Via Giuseppe Mercalli,,,Genneruxi
10537173536,Via Giuseppe Mercalli,3,,Genneruxi
10537173546,Ruga-Via Giovanni Fabrizio Bignami,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10537173547,Via Giuseppe Mercalli,,Terram?ini - Is Bingias,Genneruxi
10537173548,Via Giuseppe Mercalli,,,Genneruxi
10537173551,Via Giuseppe Mercalli,,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10538932536,Piazzale Alessandro Ricchi,2,,San Michele
10538932537,Piazzale Alessandro Ricchi,,,
10538932538,Piazzale Alessandro Ricchi,,,San Michele
10538932539,Piazzale Alessandro Ricchi,,,San Michele
10538932540,Piazzale Alessandro Ricchi,2,,San Michele
10538932541,Piazzale Alessandro Ricchi,2,,San Michele
10538932542,Piazzale Alessandro Ricchi,2,,San Michele
10538946247,Via Calamattia,4,,Fonsarda
10538946248,Via Calamattia,4,,Fonsarda
10538946249,Via Calamattia,4,,Fonsarda
10538946250,Via Calamattia,4,,Fonsarda
10538946251,Via Calamattia,5b,Monteleone - Santa Rosalia,Municipalidadi de Pirri/Municipalit? di Pirri
10538946254,Via Calamattia,9,Monteleone - Santa Rosalia,Municipalidadi de Pirri/Municipalit? di Pirri
10554761716,Asse Mediano di Scorrimento,,,San Michele
10554761717,Via Edward Jenner,,,Is Mirrionis
10554761719,Via Edward Jenner,,,Is Mirrionis
10554761720,Via Edward Jenner,11,,Is Mirrionis
10554761726,Via Edward Jenner,3,,Is Mirrionis
10554761731,Via Edward Jenner,1,,Is Mirrionis
10554761732,Via Edward Jenner,1,,Is Mirrionis
10554763506,Via Edward Jenner,2,,Is Mirrionis
10554766912,Asse Mediano di Scorrimento,1,Villa Doloretta,Municipalidadi de Pirri/Municipalit? di Pirri
10554766914,Via Edward Jenner,1,,Is Mirrionis
10596688005,Traversa di Viale La Plaia,3,,Stampaxi/Stampace
10690128983,Viale Francesco Ciusa,121,,Fonsarda
10690128984,Viale Francesco Ciusa,121,,Fonsarda
10690154811,Via del Platano,21,,Fonsarda
10690154812,Via del Platano,21,,Fonsarda
10712852245,Lungomare Francesco Cossiga,,,Nuovo Borgo Sant'Elia
10720924140,Via Praga,,,Genneruxi
10720924147,Via Luca Pacioli,11,,Genneruxi
10720924158,Via Guglielmo Marconi,,,Genneruxi
1072794774,Via Malta,2,,Stampaxi/Stampace
1072794775,Via Goffredo Mameli,52,,Stampaxi/Stampace
10732456923,Via Marna,,,Tuvixeddu-Tuvumannu
10732456925,Via Agostino Castelli,14,,Tuvixeddu-Tuvumannu
10742398463,Via Filippo Figari,,,Fonsarda
10742398464,Via Filippo Figari,,,Fonsarda
10750927890,Via Filippo Figari,2,,Fonsarda
10750927892,Via Filippo Figari,,,Fonsarda
10750927894,Via Filippo Figari,2,,Fonsarda
10750978605,Via Filippo Figari,,,Fonsarda
10750978607,Via Filippo Figari,2,,Fonsarda
10750978608,Via Filippo Figari,2,,Fonsarda
10750978620,Via dei Donoratico,85,,Fonsarda
1075548258,Viale Calamosca,,,Borgo Sant'Elia
1075548306,Viale Calamosca,37,,Borgo Sant'Elia
1075548330,Viale Calamosca,,,Borgo Sant'Elia
1075548334,Via Marina Piccola,,,Borgo Sant'Elia
10761130853,Via dei Valenzani,,,Is Mirrionis
10761130854,Via Giovanni Capula,,,Fonsarda
10761130855,Viale Francesco Ciusa,8,,Is Mirrionis
