from_lat,from_lon,to_lat,to_lon,google_maps_transit_url,travel_time,wait_time,impedance,is_missing
39.215009,9.08928,39.194842,9.062376,https://www.google.com/maps/dir/?api=1&origin=39.215009%2C9.08928&destination=39.194842%2C9.062376&travelmode=transit&departure_time=1760529600,,,,1
39.208274,9.164611,39.227999,9.067463,https://www.google.com/maps/dir/?api=1&origin=39.208274%2C9.164611&destination=39.227999%2C9.067463&travelmode=transit&departure_time=1760529600,,,,1
39.192055,9.058191,39.204728,9.138651,https://www.google.com/maps/dir/?api=1&origin=39.192055%2C9.058191&destination=39.204728%2C9.138651&travelmode=transit&departure_time=1760529600,,,,1
39.233092,9.106172,39.229067,9.077919,https://www.google.com/maps/dir/?api=1&origin=39.233092%2C9.106172&destination=39.229067%2C9.077919&travelmode=transit&departure_time=1760529600,,,,1
39.231871,9.093848,39.22743,9.078488,https://www.google.com/maps/dir/?api=1&origin=39.231871%2C9.093848&destination=39.22743%2C9.078488&travelmode=transit&departure_time=1760529600,,,,1
39.250157,9.13075,39.18923,9.168061,https://www.google.com/maps/dir/?api=1&origin=39.250157%2C9.13075&destination=39.18923%2C9.168061&travelmode=transit&departure_time=1760529600,,,,1
39.221028,9.135317,39.176232,9.028693,https://www.google.com/maps/dir/?api=1&origin=39.221028%2C9.135317&destination=39.176232%2C9.028693&travelmode=transit&departure_time=1760529600,,,,1
39.202003,9.073285,39.209117,9.139717,https://www.google.com/maps/dir/?api=1&origin=39.202003%2C9.073285&destination=39.209117%2C9.139717&travelmode=transit&departure_time=1760529600,,,,1
39.224603,9.075402,39.248824,9.133343,https://www.google.com/maps/dir/?api=1&origin=39.224603%2C9.075402&destination=39.248824%2C9.133343&travelmode=transit&departure_time=1760529600,,,,1
39.226557,9.071886,39.224307,9.118738,https://www.google.com/maps/dir/?api=1&origin=39.226557%2C9.071886&destination=39.224307%2C9.118738&travelmode=transit&departure_time=1760529600,,,,1
39.236095,9.105705,39.188714,9.165033,https://www.google.com/maps/dir/?api=1&origin=39.236095%2C9.105705&destination=39.188714%2C9.165033&travelmode=transit&departure_time=1760529600,,,,1
39.236568,9.127933,39.230366,9.074162,https://www.google.com/maps/dir/?api=1&origin=39.236568%2C9.127933&destination=39.230366%2C9.074162&travelmode=transit&departure_time=1760529600,,,,1
39.226015,9.068868,39.214953,9.170812,https://www.google.com/maps/dir/?api=1&origin=39.226015%2C9.068868&destination=39.214953%2C9.170812&travelmode=transit&departure_time=1760529600,,,,1
39.210327,9.130842,39.208959,9.054059,https://www.google.com/maps/dir/?api=1&origin=39.210327%2C9.130842&destination=39.208959%2C9.054059&travelmode=transit&departure_time=1760529600,,,,1
39.199642,9.138941,39.233584,9.035058,https://www.google.com/maps/dir/?api=1&origin=39.199642%2C9.138941&destination=39.233584%2C9.035058&travelmode=transit&departure_time=1760529600,,,,1
39.206345,9.149642,39.183675,9.161358,https://www.google.com/maps/dir/?api=1&origin=39.206345%2C9.149642&destination=39.183675%2C9.161358&travelmode=transit&departure_time=1760529600,,,,1
39.23388,9.097717,39.189283,9.168109,https://www.google.com/maps/dir/?api=1&origin=39.23388%2C9.097717&destination=39.189283%2C9.168109&travelmode=transit&departure_time=1760529600,,,,1
39.231643,9.125107,39.187884,9.165654,https://www.google.com/maps/dir/?api=1&origin=39.231643%2C9.125107&destination=39.187884%2C9.165654&travelmode=transit&departure_time=1760529600,,,,1
39.250283,9.123376,39.208959,9.054059,https://www.google.com/maps/dir/?api=1&origin=39.250283%2C9.123376&destination=39.208959%2C9.054059&travelmode=transit&departure_time=1760529600,,,,1
39.216624,9.125793,39.183843,9.161033,https://www.google.com/maps/dir/?api=1&origin=39.216624%2C9.125793&destination=39.183843%2C9.161033&travelmode=transit&departure_time=1760529600,,,,1
39.215431,9.158532,39.238727,9.119723,https://www.google.com/maps/dir/?api=1&origin=39.215431%2C9.158532&destination=39.238727%2C9.119723&travelmode=transit&departure_time=1760529600,,,,1
39.223118,9.10486,39.231319,9.051986,https://www.google.com/maps/dir/?api=1&origin=39.223118%2C9.10486&destination=39.231319%2C9.051986&travelmode=transit&departure_time=1760529600,,,,1
39.214729,9.106023,39.22515,9.081151,https://www.google.com/maps/dir/?api=1&origin=39.214729%2C9.106023&destination=39.22515%2C9.081151&travelmode=transit&departure_time=1760529600,,,,1
39.211111,9.125917,39.236224,9.036779,https://www.google.com/maps/dir/?api=1&origin=39.211111%2C9.125917&destination=39.236224%2C9.036779&travelmode=transit&departure_time=1760529600,,,,1
39.208448,9.131766,39.200369,9.071478,https://www.google.com/maps/dir/?api=1&origin=39.208448%2C9.131766&destination=39.200369%2C9.071478&travelmode=transit&departure_time=1760529600,,,,1
39.238543,9.105517,39.269915,9.077015,https://www.google.com/maps/dir/?api=1&origin=39.238543%2C9.105517&destination=39.269915%2C9.077015&travelmode=transit&departure_time=1760529600,,,,1
39.204269,9.135109,39.230366,9.074162,https://www.google.com/maps/dir/?api=1&origin=39.204269%2C9.135109&destination=39.230366%2C9.074162&travelmode=transit&departure_time=1760529600,,,,1
39.244272,9.123285,39.174234,9.030036,https://www.google.com/maps/dir/?api=1&origin=39.244272%2C9.123285&destination=39.174234%2C9.030036&travelmode=transit&departure_time=1760529600,,,,1
39.229604,9.129787,39.219739,9.155343,https://www.google.com/maps/dir/?api=1&origin=39.229604%2C9.129787&destination=39.219739%2C9.155343&travelmode=transit&departure_time=1760529600,,,,1
39.234398,9.102267,39.234231,9.03924,https://www.google.com/maps/dir/?api=1&origin=39.234398%2C9.102267&destination=39.234231%2C9.03924&travelmode=transit&departure_time=1760529600,,,,1
39.188685,9.162546,39.209902,9.141713,https://www.google.com/maps/dir/?api=1&origin=39.188685%2C9.162546&destination=39.209902%2C9.141713&travelmode=transit&departure_time=1760529600,,,,1
39.193342,9.139565,39.233753,9.035125,https://www.google.com/maps/dir/?api=1&origin=39.193342%2C9.139565&destination=39.233753%2C9.035125&travelmode=transit&departure_time=1760529600,,,,1
39.236515,9.124421,39.222043,9.039598,https://www.google.com/maps/dir/?api=1&origin=39.236515%2C9.124421&destination=39.222043%2C9.039598&travelmode=transit&departure_time=1760529600,,,,1
39.234375,9.134796,39.226069,9.080282,https://www.google.com/maps/dir/?api=1&origin=39.234375%2C9.134796&destination=39.226069%2C9.080282&travelmode=transit&departure_time=1760529600,,,,1
